reading_id,robot_id,timestamp,vibration_level,motor_temperature,torque_load,power_consumption
READ-000082,ROB-0001,2023-01-27 06:00:00,0.255,70.5,86.0,1399.6
READ-000083,ROB-0001,2023-01-27 12:00:00,0.215,66.3,114.7,1324.7
READ-000084,ROB-0001,2023-01-27 18:00:00,0.273,65.0,63.5,1389.5
READ-000085,ROB-0001,2023-01-28 00:00:00,0.172,68.1,71.5,1118.3
READ-000086,ROB-0001,2023-01-28 06:00:00,0.399,58.7,115.5,1409.0
READ-000087,ROB-0001,2023-01-28 12:00:00,0.457,70.7,70.9,1451.1
READ-000088,ROB-0001,2023-01-28 18:00:00,0.523,72.4,133.7,763.5
READ-000089,ROB-0001,2023-01-29 00:00:00,0.527,72.0,91.6,765.7
READ-000090,ROB-0001,2023-01-29 06:00:00,0.121,48.7,139.4,559.1
READ-000091,ROB-0001,2023-01-29 12:00:00,0.276,49.4,127.5,1220.1
READ-000092,ROB-0001,2023-01-29 18:00:00,0.442,56.8,145.1,1060.4
READ-000093,ROB-0001,2023-01-30 00:00:00,0.185,71.9,106.2,1438.7
READ-000094,ROB-0001,2023-01-30 06:00:00,0.196,47.9,57.4,1303.2
READ-000095,ROB-0001,2023-01-30 12:00:00,0.343,54.5,88.0,1366.1
READ-000096,ROB-0001,2023-01-30 18:00:00,0.454,56.8,61.1,750.4
READ-000097,ROB-0001,2023-01-31 00:00:00,0.097,46.5,133.8,806.6
READ-000098,ROB-0001,2023-01-31 06:00:00,0.385,68.9,141.0,1136.5
READ-000099,ROB-0001,2023-01-31 12:00:00,0.172,42.1,80.4,584.3
READ-000100,ROB-0001,2023-01-31 18:00:00,0.399,53.5,74.5,1172.2
READ-000101,ROB-0001,2023-02-01 00:00:00,0.344,55.9,84.3,2005.8
READ-000102,ROB-0001,2023-02-01 06:00:00,0.523,62.6,90.8,606.0
READ-000103,ROB-0001,2023-02-01 12:00:00,0.179,65.5,154.4,1309.2
READ-000104,ROB-0001,2023-02-01 18:00:00,0.272,60.6,128.5,1825.0
READ-000105,ROB-0001,2023-02-02 00:00:00,0.189,69.5,99.5,1102.9
READ-000106,ROB-0001,2023-02-02 06:00:00,0.137,57.4,74.7,1165.6
READ-000107,ROB-0001,2023-02-02 12:00:00,0.334,57.7,118.5,1958.9
READ-000108,ROB-0001,2023-02-02 18:00:00,0.347,63.4,85.3,1760.7
READ-000109,ROB-0001,2023-02-03 00:00:00,0.28,63.4,131.3,1584.6
READ-000110,ROB-0001,2023-02-03 06:00:00,0.526,43.4,151.9,1237.3
READ-000111,ROB-0001,2023-02-03 12:00:00,0.469,58.4,126.4,1830.0
READ-000112,ROB-0001,2023-02-03 18:00:00,0.168,61.1,146.4,621.4
READ-000113,ROB-0001,2023-02-04 00:00:00,0.5,66.4,84.7,1784.1
READ-000114,ROB-0001,2023-02-04 06:00:00,0.171,62.0,96.2,1643.0
READ-000115,ROB-0001,2023-02-04 12:00:00,0.282,62.9,141.0,1516.1
READ-000116,ROB-0001,2023-02-04 18:00:00,0.32,63.7,150.3,2010.4
READ-000117,ROB-0001,2023-02-05 00:00:00,0.195,43.8,90.3,987.9
READ-000118,ROB-0001,2023-02-05 06:00:00,0.353,62.0,76.6,1995.2
READ-000119,ROB-0001,2023-02-05 12:00:00,0.404,48.0,155.6,971.2
READ-000120,ROB-0001,2023-02-05 18:00:00,0.21,49.7,84.2,812.5
READ-000121,ROB-0001,2023-02-06 00:00:00,0.439,43.6,144.3,940.5
READ-000122,ROB-0001,2023-02-06 06:00:00,0.201,69.0,84.9,804.6
READ-000123,ROB-0001,2023-02-06 12:00:00,0.183,57.8,89.7,946.3
READ-000124,ROB-0001,2023-02-06 18:00:00,0.466,58.9,106.5,1494.0
READ-000125,ROB-0001,2023-02-07 00:00:00,0.298,69.4,140.1,1572.8
READ-000126,ROB-0001,2023-02-07 06:00:00,0.389,64.9,76.9,1846.8
READ-000127,ROB-0001,2023-02-07 12:00:00,0.224,66.6,131.4,1333.6
READ-000128,ROB-0001,2023-02-07 18:00:00,0.416,61.4,132.5,718.8
READ-000129,ROB-0001,2023-02-08 00:00:00,0.381,70.3,70.6,1925.0
READ-000130,ROB-0001,2023-02-08 06:00:00,0.149,60.2,97.4,1479.4
READ-000131,ROB-0001,2023-02-08 12:00:00,0.351,51.0,84.6,2030.6
READ-000132,ROB-0001,2023-02-08 18:00:00,0.363,50.4,66.5,1567.8
READ-000133,ROB-0001,2023-02-09 00:00:00,0.316,61.6,93.6,971.9
READ-000134,ROB-0001,2023-02-09 06:00:00,0.231,45.2,121.9,1116.5
READ-000135,ROB-0001,2023-02-09 12:00:00,0.468,68.8,130.7,1532.5
READ-000136,ROB-0001,2023-02-09 18:00:00,0.195,42.9,124.2,1175.0
READ-000137,ROB-0001,2023-02-10 00:00:00,0.235,61.1,78.1,1255.6
READ-000138,ROB-0001,2023-02-10 06:00:00,0.38,67.7,133.0,574.7
READ-000139,ROB-0001,2023-02-10 12:00:00,0.408,59.0,109.7,544.2
READ-000140,ROB-0001,2023-02-10 18:00:00,0.253,45.6,91.8,766.3
READ-000141,ROB-0001,2023-02-11 00:00:00,0.22,43.8,122.1,1621.5
READ-000142,ROB-0001,2023-02-11 06:00:00,0.502,66.4,99.3,1751.6
READ-000143,ROB-0001,2023-02-11 12:00:00,0.328,63.0,61.6,653.3
READ-000144,ROB-0001,2023-02-11 18:00:00,0.539,56.4,81.8,1747.6
READ-000145,ROB-0001,2023-02-12 00:00:00,0.272,69.8,151.2,1475.4
READ-000146,ROB-0001,2023-02-12 06:00:00,0.436,60.9,130.4,1219.7
READ-000147,ROB-0001,2023-02-12 12:00:00,0.317,65.5,106.9,1812.8
READ-000148,ROB-0001,2023-02-12 18:00:00,0.484,49.1,119.8,1505.2
READ-000149,ROB-0001,2023-02-13 00:00:00,0.221,51.5,154.9,810.3
READ-000150,ROB-0001,2023-02-13 06:00:00,0.31,55.2,84.4,1474.3
READ-000151,ROB-0001,2023-02-13 12:00:00,0.463,43.4,157.0,1215.9
READ-000152,ROB-0001,2023-02-13 18:00:00,0.305,48.8,115.1,1672.5
READ-000153,ROB-0001,2023-02-14 00:00:00,0.475,65.8,113.2,1851.3
READ-000154,ROB-0001,2023-02-14 06:00:00,0.399,69.9,59.3,673.2
READ-000155,ROB-0001,2023-02-14 12:00:00,0.212,47.1,158.7,1910.8
READ-000156,ROB-0001,2023-02-14 18:00:00,0.401,59.9,72.0,563.4
READ-000157,ROB-0001,2023-02-15 00:00:00,0.528,45.3,126.6,1230.5
READ-000158,ROB-0001,2023-02-15 06:00:00,0.538,64.6,110.2,1512.4
READ-000159,ROB-0001,2023-02-15 12:00:00,0.251,60.3,94.1,1536.7
READ-000160,ROB-0001,2023-02-15 18:00:00,0.486,67.4,117.6,1620.8
READ-000161,ROB-0001,2023-02-16 00:00:00,0.466,65.1,133.9,1203.8
READ-000162,ROB-0001,2023-02-16 06:00:00,0.23,48.7,91.4,1553.5
READ-000163,ROB-0001,2023-02-16 12:00:00,0.207,48.7,120.3,1542.6
READ-000164,ROB-0001,2023-02-16 18:00:00,0.288,53.1,62.7,1135.1
READ-000165,ROB-0001,2023-02-17 00:00:00,0.431,65.5,136.8,1625.3
READ-000166,ROB-0001,2023-02-17 06:00:00,0.089,69.8,85.2,669.0
READ-000167,ROB-0001,2023-02-17 12:00:00,0.422,60.1,81.2,1458.8
READ-000168,ROB-0001,2023-02-17 18:00:00,0.192,63.1,65.2,1351.0
READ-000169,ROB-0001,2023-02-18 00:00:00,0.541,55.6,136.2,1391.6
READ-000170,ROB-0001,2023-02-18 06:00:00,0.408,72.0,71.6,847.3
READ-000171,ROB-0001,2023-02-18 12:00:00,0.429,50.8,133.1,1250.0
READ-000172,ROB-0001,2023-02-18 18:00:00,0.375,46.8,128.9,1839.8
READ-000173,ROB-0001,2023-02-19 00:00:00,0.388,63.6,74.2,1185.5
READ-000174,ROB-0001,2023-02-19 06:00:00,0.35,66.8,122.3,2030.8
READ-000175,ROB-0001,2023-02-19 12:00:00,0.152,66.4,74.4,1012.0
READ-000176,ROB-0001,2023-02-19 18:00:00,0.194,67.7,68.4,1371.2
READ-000177,ROB-0001,2023-02-20 00:00:00,0.367,62.9,150.9,1541.1
READ-000178,ROB-0001,2023-02-20 06:00:00,0.383,67.9,72.0,1557.9
READ-000179,ROB-0001,2023-02-20 12:00:00,0.398,51.8,127.6,1747.4
READ-000180,ROB-0001,2023-02-20 18:00:00,0.365,60.4,67.5,1711.6
READ-000181,ROB-0001,2023-02-21 00:00:00,0.073,52.1,75.8,1025.6
READ-000182,ROB-0001,2023-02-21 06:00:00,0.394,57.3,151.5,1286.7
READ-000183,ROB-0001,2023-02-21 12:00:00,0.488,64.7,136.7,980.1
READ-000184,ROB-0001,2023-02-21 18:00:00,0.287,72.9,126.0,1800.5
READ-000185,ROB-0001,2023-02-22 00:00:00,0.189,56.7,95.1,785.5
READ-000186,ROB-0001,2023-02-22 06:00:00,0.489,54.7,80.1,1327.2
READ-000187,ROB-0001,2023-02-22 12:00:00,0.387,64.5,70.9,631.9
READ-000188,ROB-0001,2023-02-22 18:00:00,0.513,48.6,67.3,737.2
READ-000189,ROB-0001,2023-02-23 00:00:00,0.401,68.9,123.6,1500.9
READ-000190,ROB-0001,2023-02-23 06:00:00,0.144,65.0,102.7,864.7
READ-000191,ROB-0001,2023-02-23 12:00:00,0.43,43.1,89.2,1277.5
READ-000192,ROB-0001,2023-02-23 18:00:00,0.154,50.4,153.2,1723.1
READ-000193,ROB-0001,2023-02-24 00:00:00,0.31,65.6,63.9,1333.7
READ-000194,ROB-0001,2023-02-24 06:00:00,0.267,55.9,97.9,1782.3
READ-000195,ROB-0001,2023-02-24 12:00:00,0.36,66.0,62.6,1911.6
READ-000196,ROB-0001,2023-02-24 18:00:00,0.428,59.1,71.7,1331.7
READ-000197,ROB-0001,2023-02-25 00:00:00,0.099,42.6,132.6,638.4
READ-000198,ROB-0001,2023-02-25 06:00:00,0.474,49.0,77.4,674.9
READ-000199,ROB-0001,2023-02-25 12:00:00,0.466,54.6,77.8,797.0
READ-000200,ROB-0001,2023-02-25 18:00:00,0.17,71.6,142.5,1004.5
READ-000201,ROB-0001,2023-02-26 00:00:00,0.422,57.8,78.1,1024.3
READ-000202,ROB-0001,2023-02-26 06:00:00,0.543,50.9,71.5,828.7
READ-000203,ROB-0001,2023-02-26 12:00:00,0.482,70.6,149.3,950.4
READ-000204,ROB-0001,2023-02-26 18:00:00,0.481,60.4,70.1,1385.1
READ-000205,ROB-0001,2023-02-27 00:00:00,0.364,72.4,131.1,1310.5
READ-000206,ROB-0001,2023-02-27 06:00:00,0.419,65.8,117.6,1666.2
READ-000207,ROB-0001,2023-02-27 12:00:00,0.41,49.0,116.5,1631.3
READ-000208,ROB-0001,2023-02-27 18:00:00,0.332,43.5,130.5,615.6
READ-000209,ROB-0001,2023-02-28 00:00:00,0.367,45.7,86.7,1893.0
READ-000210,ROB-0001,2023-02-28 06:00:00,0.23,56.9,121.8,631.6
READ-000211,ROB-0001,2023-02-28 12:00:00,0.51,46.4,118.1,1410.0
READ-000212,ROB-0001,2023-02-28 18:00:00,0.249,65.8,108.3,694.2
READ-000213,ROB-0001,2023-03-01 00:00:00,0.43,53.8,98.6,767.5
READ-000214,ROB-0001,2023-03-01 06:00:00,0.338,67.8,160.9,1967.1
READ-000215,ROB-0001,2023-03-01 12:00:00,0.292,57.4,136.5,1092.2
READ-000216,ROB-0001,2023-03-01 18:00:00,0.291,39.2,59.0,1793.1
READ-000217,ROB-0001,2023-03-02 00:00:00,0.279,53.8,136.4,1726.7
READ-000218,ROB-0001,2023-03-02 06:00:00,0.286,43.5,124.8,1308.8
READ-000219,ROB-0001,2023-03-02 12:00:00,0.389,45.7,125.7,1510.6
READ-000220,ROB-0001,2023-03-02 18:00:00,0.587,48.9,82.1,1666.7
READ-000221,ROB-0001,2023-03-03 00:00:00,0.05,45.6,149.3,750.4
READ-000222,ROB-0001,2023-03-03 06:00:00,0.081,60.9,155.3,1352.6
READ-000223,ROB-0001,2023-03-03 12:00:00,0.148,61.3,97.7,1983.7
READ-000224,ROB-0001,2023-03-03 18:00:00,0.512,60.2,108.2,711.1
READ-000225,ROB-0001,2023-03-04 00:00:00,0.389,46.3,89.0,1246.8
READ-000226,ROB-0001,2023-03-04 06:00:00,0.401,61.1,58.0,1294.8
READ-000227,ROB-0001,2023-03-04 12:00:00,0.232,51.4,129.2,1282.2
READ-000228,ROB-0001,2023-03-04 18:00:00,0.588,65.0,56.8,743.6
READ-000229,ROB-0001,2023-03-05 00:00:00,0.198,58.8,141.8,1100.6
READ-000230,ROB-0001,2023-03-05 06:00:00,0.384,62.7,137.2,1118.6
READ-000231,ROB-0001,2023-03-05 12:00:00,0.451,50.7,135.9,1921.9
READ-000232,ROB-0001,2023-03-05 18:00:00,0.327,63.3,62.9,1887.2
READ-000233,ROB-0001,2023-03-06 00:00:00,0.534,64.0,124.4,876.6
READ-000234,ROB-0001,2023-03-06 06:00:00,0.455,68.1,63.8,1686.8
READ-000235,ROB-0001,2023-03-06 12:00:00,0.328,50.2,108.6,1781.8
READ-000236,ROB-0001,2023-03-06 18:00:00,0.272,46.5,124.2,1761.3
READ-000237,ROB-0001,2023-03-07 00:00:00,0.38,63.6,122.1,1480.7
READ-000238,ROB-0001,2023-03-07 06:00:00,0.38,46.2,124.0,1029.9
READ-000239,ROB-0001,2023-03-07 12:00:00,0.247,71.0,77.9,1494.0
READ-000240,ROB-0001,2023-03-07 18:00:00,0.181,52.1,123.5,1990.7
READ-000241,ROB-0001,2023-03-08 00:00:00,0.247,67.3,127.6,1387.0
READ-000242,ROB-0001,2023-03-08 06:00:00,0.342,53.2,154.3,721.8
READ-000243,ROB-0001,2023-03-08 12:00:00,0.299,69.0,79.5,1948.7
READ-000244,ROB-0001,2023-03-08 18:00:00,0.5,54.1,141.2,708.4
READ-000245,ROB-0001,2023-03-09 00:00:00,0.102,53.9,89.9,1498.9
READ-000246,ROB-0001,2023-03-09 06:00:00,0.51,49.9,58.3,916.4
READ-000247,ROB-0001,2023-03-09 12:00:00,0.197,71.3,108.4,1814.3
READ-000248,ROB-0001,2023-03-09 18:00:00,0.27,56.9,140.4,1492.3
READ-000249,ROB-0001,2023-03-10 00:00:00,0.374,61.4,89.6,1313.3
READ-000250,ROB-0001,2023-03-10 06:00:00,0.499,60.4,125.6,1269.8
READ-000251,ROB-0001,2023-03-10 12:00:00,0.269,43.2,61.5,988.0
READ-000252,ROB-0001,2023-03-10 18:00:00,0.217,56.0,57.1,601.7
READ-000253,ROB-0001,2023-03-11 00:00:00,0.366,49.3,146.6,1121.6
READ-000254,ROB-0001,2023-03-11 06:00:00,0.318,65.2,95.3,1555.9
READ-000255,ROB-0001,2023-03-11 12:00:00,0.489,63.7,123.9,1041.0
READ-000256,ROB-0001,2023-03-11 18:00:00,0.185,51.5,100.0,1105.9
READ-000257,ROB-0001,2023-03-12 00:00:00,0.128,55.5,148.7,1553.4
READ-000258,ROB-0001,2023-03-12 06:00:00,0.374,70.1,110.5,1863.8
READ-000259,ROB-0001,2023-03-12 12:00:00,0.127,54.8,85.3,1248.2
READ-000260,ROB-0001,2023-03-12 18:00:00,0.255,67.4,114.3,1846.0
READ-000261,ROB-0001,2023-03-13 00:00:00,0.287,66.2,99.0,1771.9
READ-000262,ROB-0001,2023-03-13 06:00:00,0.329,61.7,86.7,1439.3
READ-000263,ROB-0001,2023-03-13 12:00:00,0.388,49.1,141.2,1062.5
READ-000264,ROB-0001,2023-03-13 18:00:00,0.252,50.2,122.6,1467.1
READ-000265,ROB-0001,2023-03-14 00:00:00,0.453,46.2,101.4,588.0
READ-000266,ROB-0001,2023-03-14 06:00:00,0.149,56.8,73.8,576.2
READ-000267,ROB-0001,2023-03-14 12:00:00,0.255,71.4,85.9,1896.0
READ-000268,ROB-0001,2023-03-14 18:00:00,0.391,56.7,112.3,796.2
READ-000269,ROB-0001,2023-03-15 00:00:00,0.318,50.1,71.0,864.4
READ-000270,ROB-0001,2023-03-15 06:00:00,0.256,45.6,104.9,1548.1
READ-000271,ROB-0001,2023-03-15 12:00:00,0.53,45.0,95.8,623.2
READ-000272,ROB-0001,2023-03-15 18:00:00,0.377,67.4,71.2,1724.7
READ-000273,ROB-0001,2023-03-16 00:00:00,0.584,46.4,92.4,2059.3
READ-000274,ROB-0001,2023-03-16 06:00:00,0.158,54.4,136.5,1136.5
READ-000275,ROB-0001,2023-03-16 12:00:00,0.57,54.4,136.8,1692.3
READ-000276,ROB-0001,2023-03-16 18:00:00,0.521,49.3,143.0,1895.5
READ-000277,ROB-0001,2023-03-17 00:00:00,0.119,57.1,118.9,1592.7
READ-000278,ROB-0001,2023-03-17 06:00:00,0.519,51.4,79.7,2001.7
READ-000279,ROB-0001,2023-03-17 12:00:00,0.506,47.7,132.1,1735.5
READ-000280,ROB-0001,2023-03-17 18:00:00,0.152,56.3,58.8,1152.1
READ-000281,ROB-0001,2023-03-18 00:00:00,0.379,70.9,62.2,1958.2
READ-000282,ROB-0001,2023-03-18 06:00:00,0.387,61.7,56.2,631.2
READ-000283,ROB-0001,2023-03-18 12:00:00,0.458,65.9,98.7,1872.0
READ-000284,ROB-0001,2023-03-18 18:00:00,0.391,60.5,99.8,1558.9
READ-000285,ROB-0001,2023-03-19 00:00:00,0.203,63.5,84.5,1703.7
READ-000286,ROB-0001,2023-03-19 06:00:00,0.172,64.4,79.5,1299.6
READ-000287,ROB-0001,2023-03-19 12:00:00,0.433,51.8,59.1,1290.7
READ-000288,ROB-0001,2023-03-19 18:00:00,0.253,46.8,92.3,961.4
READ-000289,ROB-0001,2023-03-20 00:00:00,0.337,68.1,80.5,1992.1
READ-000290,ROB-0001,2023-03-20 06:00:00,0.451,65.6,55.9,806.3
READ-000291,ROB-0001,2023-03-20 12:00:00,0.262,44.3,133.2,1534.3
READ-000292,ROB-0001,2023-03-20 18:00:00,0.298,55.4,73.6,1146.6
READ-000293,ROB-0001,2023-03-21 00:00:00,0.531,67.4,79.6,1503.9
READ-000294,ROB-0001,2023-03-21 06:00:00,0.35,53.1,62.7,1576.7
READ-000295,ROB-0001,2023-03-21 12:00:00,0.408,47.7,144.2,951.0
READ-000296,ROB-0001,2023-03-21 18:00:00,0.246,65.1,43.7,1112.9
READ-000297,ROB-0001,2023-03-22 00:00:00,0.363,60.9,50.1,1279.6
READ-000298,ROB-0001,2023-03-22 06:00:00,0.493,66.4,105.4,1996.8
READ-000299,ROB-0001,2023-03-22 12:00:00,0.095,47.9,133.1,1328.5
READ-000300,ROB-0001,2023-03-22 18:00:00,0.478,45.7,136.9,1699.9
READ-000301,ROB-0001,2023-03-23 00:00:00,0.167,52.2,79.8,1283.0
READ-000302,ROB-0001,2023-03-23 06:00:00,0.516,43.6,98.0,904.8
READ-000303,ROB-0001,2023-03-23 12:00:00,0.46,44.4,132.1,1466.2
READ-000304,ROB-0001,2023-03-23 18:00:00,0.501,51.0,97.8,1947.9
READ-000305,ROB-0001,2023-03-24 00:00:00,0.305,70.8,107.0,902.1
READ-000306,ROB-0001,2023-03-24 06:00:00,0.402,55.3,107.5,1216.9
READ-000307,ROB-0001,2023-03-24 12:00:00,0.454,48.8,160.3,2001.3
READ-000308,ROB-0001,2023-03-24 18:00:00,0.201,60.7,149.9,849.8
READ-000309,ROB-0001,2023-03-25 00:00:00,0.293,64.5,87.2,1521.6
READ-000310,ROB-0001,2023-03-25 06:00:00,0.287,43.6,60.3,1072.0
READ-000311,ROB-0001,2023-03-25 12:00:00,0.547,44.4,96.1,574.3
READ-000312,ROB-0001,2023-03-25 18:00:00,0.277,72.2,161.4,599.4
READ-000313,ROB-0001,2023-03-26 00:00:00,0.483,72.1,102.9,1112.5
READ-000314,ROB-0001,2023-03-26 06:00:00,0.413,47.3,72.1,1947.9
READ-000315,ROB-0001,2023-03-26 12:00:00,0.611,59.7,94.2,1380.2
READ-000316,ROB-0001,2023-03-26 18:00:00,0.501,73.4,137.0,1178.8
READ-000317,ROB-0001,2023-03-27 00:00:00,0.256,48.0,90.3,1844.7
READ-000318,ROB-0001,2023-03-27 06:00:00,0.194,63.4,129.6,1529.5
READ-000319,ROB-0001,2023-03-27 12:00:00,0.167,65.0,49.6,1142.3
READ-000320,ROB-0001,2023-03-27 18:00:00,0.276,39.7,131.3,2014.1
READ-000321,ROB-0001,2023-03-28 00:00:00,0.296,52.0,91.4,1611.4
READ-000322,ROB-0001,2023-03-28 06:00:00,0.56,73.5,130.9,1115.5
READ-000323,ROB-0001,2023-03-28 12:00:00,0.466,44.0,138.3,1395.7
READ-000324,ROB-0001,2023-03-28 18:00:00,0.484,44.7,109.1,1340.0
READ-000325,ROB-0001,2023-03-29 00:00:00,0.469,56.7,151.3,1573.4
