reading_id,robot_id,timestamp,vibration_level,motor_temperature,torque_load,power_consumption,model_type,factory_location,operating_environment,cumulative_hours,failure_time,rul_hours_raw,rul_hours,is_failure_robot,label_status,total_maintenance_count,total_downtime_hours,avg_downtime_hours,repair_count,replacement_count,lubrication_count,calibration_count,inspection_count,health_risk_label
READ-011649,ROB-0007,2023-02-12 12:00:00,0.24,66.9,134.6,578.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",60.0,2023-11-21,6756.0,6756.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011650,ROB-0007,2023-02-12 18:00:00,0.209,59.4,73.1,729.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",66.0,2023-11-21,6750.0,6750.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011651,ROB-0007,2023-02-13 00:00:00,0.487,52.7,101.3,1723.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",72.0,2023-11-21,6744.0,6744.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011652,ROB-0007,2023-02-13 06:00:00,0.525,52.2,109.2,686.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",78.0,2023-11-21,6738.0,6738.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011653,ROB-0007,2023-02-13 12:00:00,0.323,56.7,101.5,1865.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",84.0,2023-11-21,6732.0,6732.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011654,ROB-0007,2023-02-13 18:00:00,0.325,67.0,72.6,1482.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",90.0,2023-11-21,6726.0,6726.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011655,ROB-0007,2023-02-14 00:00:00,0.35,59.2,117.6,1435.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",96.0,2023-11-21,6720.0,6720.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011656,ROB-0007,2023-02-14 06:00:00,0.357,49.8,121.7,1910.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",102.0,2023-11-21,6714.0,6714.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011657,ROB-0007,2023-02-14 12:00:00,0.42,62.4,149.4,1107.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",108.0,2023-11-21,6708.0,6708.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011658,ROB-0007,2023-02-14 18:00:00,0.281,43.6,75.3,726.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",114.0,2023-11-21,6702.0,6702.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011659,ROB-0007,2023-02-15 00:00:00,0.395,65.5,97.6,1687.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",120.0,2023-11-21,6696.0,6696.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011660,ROB-0007,2023-02-15 06:00:00,0.328,52.2,75.9,1477.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",126.0,2023-11-21,6690.0,6690.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011661,ROB-0007,2023-02-15 12:00:00,0.392,56.9,74.8,1309.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",132.0,2023-11-21,6684.0,6684.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011662,ROB-0007,2023-02-15 18:00:00,0.285,48.3,67.6,1868.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",138.0,2023-11-21,6678.0,6678.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011663,ROB-0007,2023-02-16 00:00:00,0.306,47.3,124.3,1000.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",144.0,2023-11-21,6672.0,6672.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011664,ROB-0007,2023-02-16 06:00:00,0.268,55.3,139.1,922.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",150.0,2023-11-21,6666.0,6666.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011665,ROB-0007,2023-02-16 12:00:00,0.21,59.5,105.0,1001.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",156.0,2023-11-21,6660.0,6660.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011666,ROB-0007,2023-02-16 18:00:00,0.319,54.4,110.0,1054.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",162.0,2023-11-21,6654.0,6654.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011667,ROB-0007,2023-02-17 00:00:00,0.188,64.6,109.6,1181.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",168.0,2023-11-21,6648.0,6648.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011668,ROB-0007,2023-02-17 06:00:00,0.233,66.5,79.7,1554.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",174.0,2023-11-21,6642.0,6642.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011669,ROB-0007,2023-02-17 12:00:00,0.387,70.5,111.1,971.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",180.0,2023-11-21,6636.0,6636.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011670,ROB-0007,2023-02-17 18:00:00,0.519,49.9,130.8,1133.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",186.0,2023-11-21,6630.0,6630.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011671,ROB-0007,2023-02-18 00:00:00,0.245,64.7,75.8,1986.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",192.0,2023-11-21,6624.0,6624.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011672,ROB-0007,2023-02-18 06:00:00,0.21,47.8,72.3,775.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",198.0,2023-11-21,6618.0,6618.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011673,ROB-0007,2023-02-18 12:00:00,0.301,66.1,141.3,1203.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",204.0,2023-11-21,6612.0,6612.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011674,ROB-0007,2023-02-18 18:00:00,0.216,51.9,103.7,740.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",210.0,2023-11-21,6606.0,6606.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011675,ROB-0007,2023-02-19 00:00:00,0.219,45.9,97.4,1555.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",216.0,2023-11-21,6600.0,6600.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011676,ROB-0007,2023-02-19 06:00:00,0.344,54.6,61.0,1801.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",222.0,2023-11-21,6594.0,6594.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011677,ROB-0007,2023-02-19 12:00:00,0.157,45.0,76.8,682.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",228.0,2023-11-21,6588.0,6588.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011678,ROB-0007,2023-02-19 18:00:00,0.393,51.1,97.3,1159.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",234.0,2023-11-21,6582.0,6582.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011679,ROB-0007,2023-02-20 00:00:00,0.336,58.2,147.3,1143.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",240.0,2023-11-21,6576.0,6576.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011680,ROB-0007,2023-02-20 06:00:00,0.397,50.0,149.5,685.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",246.0,2023-11-21,6570.0,6570.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011681,ROB-0007,2023-02-20 12:00:00,0.171,49.3,83.7,1837.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",252.0,2023-11-21,6564.0,6564.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011682,ROB-0007,2023-02-20 18:00:00,0.433,67.3,107.5,1778.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",258.0,2023-11-21,6558.0,6558.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011683,ROB-0007,2023-02-21 00:00:00,0.416,68.7,141.5,1705.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",264.0,2023-11-21,6552.0,6552.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011684,ROB-0007,2023-02-21 06:00:00,0.414,69.5,110.5,835.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",270.0,2023-11-21,6546.0,6546.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011685,ROB-0007,2023-02-21 12:00:00,0.408,55.8,87.7,1023.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",276.0,2023-11-21,6540.0,6540.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011686,ROB-0007,2023-02-21 18:00:00,0.41,71.7,103.0,1187.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",282.0,2023-11-21,6534.0,6534.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011687,ROB-0007,2023-02-22 00:00:00,0.489,72.6,57.8,897.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",288.0,2023-11-21,6528.0,6528.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011688,ROB-0007,2023-02-22 06:00:00,0.375,51.7,112.9,1188.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",294.0,2023-11-21,6522.0,6522.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011689,ROB-0007,2023-02-22 12:00:00,0.165,53.8,78.5,688.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",300.0,2023-11-21,6516.0,6516.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011690,ROB-0007,2023-02-22 18:00:00,0.39,54.3,57.5,1983.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",306.0,2023-11-21,6510.0,6510.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011691,ROB-0007,2023-02-23 00:00:00,0.269,46.4,142.4,1609.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",312.0,2023-11-21,6504.0,6504.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011692,ROB-0007,2023-02-23 06:00:00,0.484,48.5,120.1,1591.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",318.0,2023-11-21,6498.0,6498.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011693,ROB-0007,2023-02-23 12:00:00,0.389,68.7,152.6,1929.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",324.0,2023-11-21,6492.0,6492.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011694,ROB-0007,2023-02-23 18:00:00,0.36,63.6,76.7,1800.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",330.0,2023-11-21,6486.0,6486.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011695,ROB-0007,2023-02-24 00:00:00,0.168,55.6,136.4,1377.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",336.0,2023-11-21,6480.0,6480.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011696,ROB-0007,2023-02-24 06:00:00,0.332,63.6,107.7,1719.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",342.0,2023-11-21,6474.0,6474.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011697,ROB-0007,2023-02-24 12:00:00,0.522,67.7,115.1,858.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",348.0,2023-11-21,6468.0,6468.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011698,ROB-0007,2023-02-24 18:00:00,0.44,56.8,146.2,879.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",354.0,2023-11-21,6462.0,6462.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011699,ROB-0007,2023-02-25 00:00:00,0.395,57.7,83.6,1446.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",360.0,2023-11-21,6456.0,6456.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011700,ROB-0007,2023-02-25 06:00:00,0.253,47.3,152.4,2033.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",366.0,2023-11-21,6450.0,6450.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011701,ROB-0007,2023-02-25 12:00:00,0.293,42.6,60.3,1783.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",372.0,2023-11-21,6444.0,6444.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011702,ROB-0007,2023-02-25 18:00:00,0.351,62.2,82.2,1323.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",378.0,2023-11-21,6438.0,6438.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011703,ROB-0007,2023-02-26 00:00:00,0.386,52.3,81.8,1119.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",384.0,2023-11-21,6432.0,6432.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011704,ROB-0007,2023-02-26 06:00:00,0.414,66.1,142.9,1451.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",390.0,2023-11-21,6426.0,6426.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011705,ROB-0007,2023-02-26 12:00:00,0.323,61.1,149.6,770.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",396.0,2023-11-21,6420.0,6420.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011706,ROB-0007,2023-02-26 18:00:00,0.329,61.1,119.8,888.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",402.0,2023-11-21,6414.0,6414.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011707,ROB-0007,2023-02-27 00:00:00,0.376,42.8,146.2,1121.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",408.0,2023-11-21,6408.0,6408.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011708,ROB-0007,2023-02-27 06:00:00,0.341,61.7,88.2,705.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",414.0,2023-11-21,6402.0,6402.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011709,ROB-0007,2023-02-27 12:00:00,0.335,65.3,108.1,1510.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",420.0,2023-11-21,6396.0,6396.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011710,ROB-0007,2023-02-27 18:00:00,0.391,63.4,139.3,840.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",426.0,2023-11-21,6390.0,6390.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011711,ROB-0007,2023-02-28 00:00:00,0.46,47.4,96.7,1645.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",432.0,2023-11-21,6384.0,6384.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011712,ROB-0007,2023-02-28 06:00:00,0.416,52.0,105.6,1024.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",438.0,2023-11-21,6378.0,6378.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011713,ROB-0007,2023-02-28 12:00:00,0.394,55.7,124.7,791.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",444.0,2023-11-21,6372.0,6372.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011714,ROB-0007,2023-02-28 18:00:00,0.171,47.1,76.2,2007.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",450.0,2023-11-21,6366.0,6366.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011715,ROB-0007,2023-03-01 00:00:00,0.343,69.1,148.4,1879.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",456.0,2023-11-21,6360.0,6360.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011716,ROB-0007,2023-03-01 06:00:00,0.202,59.3,76.9,564.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",462.0,2023-11-21,6354.0,6354.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011717,ROB-0007,2023-03-01 12:00:00,0.484,46.3,125.5,649.6,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",468.0,2023-11-21,6348.0,6348.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011718,ROB-0007,2023-03-01 18:00:00,0.511,50.0,74.8,851.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",474.0,2023-11-21,6342.0,6342.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011719,ROB-0007,2023-03-02 00:00:00,0.562,54.7,107.2,631.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",480.0,2023-11-21,6336.0,6336.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011720,ROB-0007,2023-03-02 06:00:00,0.247,68.0,103.0,1152.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",486.0,2023-11-21,6330.0,6330.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011721,ROB-0007,2023-03-02 12:00:00,0.493,55.9,101.4,851.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",492.0,2023-11-21,6324.0,6324.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011722,ROB-0007,2023-03-02 18:00:00,0.295,42.8,71.5,1573.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",498.0,2023-11-21,6318.0,6318.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011723,ROB-0007,2023-03-03 00:00:00,0.319,49.6,72.8,1693.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",504.0,2023-11-21,6312.0,6312.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011724,ROB-0007,2023-03-03 06:00:00,0.204,59.3,116.5,1863.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",510.0,2023-11-21,6306.0,6306.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011725,ROB-0007,2023-03-03 12:00:00,0.311,52.4,68.1,804.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",516.0,2023-11-21,6300.0,6300.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011726,ROB-0007,2023-03-03 18:00:00,0.449,52.8,57.5,1330.3,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",522.0,2023-11-21,6294.0,6294.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011727,ROB-0007,2023-03-04 00:00:00,0.283,69.2,128.5,952.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",528.0,2023-11-21,6288.0,6288.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011728,ROB-0007,2023-03-04 06:00:00,0.196,50.7,90.7,1975.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",534.0,2023-11-21,6282.0,6282.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011729,ROB-0007,2023-03-04 12:00:00,0.221,53.6,166.9,1001.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",540.0,2023-11-21,6276.0,6276.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011730,ROB-0007,2023-03-04 18:00:00,0.356,48.7,96.6,1767.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",546.0,2023-11-21,6270.0,6270.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011731,ROB-0007,2023-03-05 00:00:00,0.192,51.0,149.8,1885.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",552.0,2023-11-21,6264.0,6264.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011732,ROB-0007,2023-03-05 06:00:00,0.363,70.4,136.3,1338.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",558.0,2023-11-21,6258.0,6258.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011733,ROB-0007,2023-03-05 12:00:00,0.277,51.9,99.1,1755.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",564.0,2023-11-21,6252.0,6252.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011734,ROB-0007,2023-03-05 18:00:00,0.505,69.5,59.7,1581.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",570.0,2023-11-21,6246.0,6246.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011735,ROB-0007,2023-03-06 00:00:00,0.28,58.3,155.8,1494.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",576.0,2023-11-21,6240.0,6240.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
